	net_name	dataset_name	train_or_test	image_size	batch_size_app	batch_size_small_net	dense_1	dense_2	activation_1	activation_2	optimiser
0	MobileNet	03_France_ByShape_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
1	MobileNet	03_France_ByShape_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
2	MobileNet	03_France_ByShape_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
3	MobileNet	03_France_ByShape_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
4	MobileNet	03_France_ByShape_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
5	MobileNet	03_France_ByShape_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
6	SqueezeNet	03_France_ByShape_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
7	SqueezeNet	03_France_ByShape_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
8	SqueezeNet	03_France_ByShape_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
9	SqueezeNet	03_France_ByShape_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
10	SqueezeNet	03_France_ByShape_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
11	SqueezeNet	03_France_ByShape_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
12	SqueezeNet	03_France_ByShape_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
13	SqueezeNet	03_France_ByShape_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
14	Xception	03_France_ByShape_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
15	Xception	03_France_ByShape_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
16	Xception	03_France_ByShape_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
17	Xception	03_France_ByShape_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
18	Xception	03_France_ByShape_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
19	Xception	03_France_ByShape_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
20	Xception	03_France_ByShape_160_3dim	train	160	-1	10	0.5	-1	relu	relu	adam
21	Xception	03_France_ByShape_160_3dim	test	160	-1	10	0.5	-1	relu	relu	adam
22	Xception	03_France_ByShape_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
23	Xception	03_France_ByShape_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
24	Xception	03_France_ByShape_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
25	Xception	03_France_ByShape_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
26	VGG16	03_France_ByShape_128_3dim	train	128	-1	10	0.5	-1	relu	relu	adam
27	VGG16	03_France_ByShape_128_3dim	test	128	-1	10	0.5	-1	relu	relu	adam
