	net_name	dataset_name	train_or_test	image_size	batch_size_app	batch_size_small_net	dense_1	dense_2	activation_1	activation_2	optimiser
0	MobileNet	03_France_ByShape_128_3dim	train	128	-1	30	200.0	30	relu	relu	adam
1	MobileNet	03_France_ByShape_128_3dim	test	128	-1	30	200.0	30	relu	relu	adam
2	MobileNet	03_France_ByShape_128_3dim	train	128	-1	30	200.0	30	relu	relu	adam
3	MobileNet	03_France_ByShape_128_3dim	test	128	-1	30	200.0	30	relu	relu	adam
4	MobileNet	03_France_ByShape_160_3dim	train	160	-1	30	200.0	30	relu	relu	adam
5	MobileNet	03_France_ByShape_160_3dim	test	160	-1	30	200.0	30	relu	relu	adam
6	MobileNet	03_France_ByShape_192_3dim	train	192	-1	30	200.0	30	relu	relu	adam
7	MobileNet	03_France_ByShape_192_3dim	test	192	-1	30	200.0	30	relu	relu	adam
8	MobileNet	03_France_ByShape_224_3dim	train	224	-1	30	200.0	30	relu	relu	adam
9	MobileNet	03_France_ByShape_224_3dim	test	224	-1	30	200.0	30	relu	relu	adam
10	SqueezeNet	03_France_ByShape_128_3dim	train	128	-1	30	200.0	30	relu	relu	adam
11	SqueezeNet	03_France_ByShape_128_3dim	test	128	-1	30	200.0	30	relu	relu	adam
12	SqueezeNet	03_France_ByShape_160_3dim	train	160	-1	30	200.0	30	relu	relu	adam
13	SqueezeNet	03_France_ByShape_160_3dim	test	160	-1	30	200.0	30	relu	relu	adam
14	SqueezeNet	03_France_ByShape_192_3dim	train	192	-1	30	200.0	30	relu	relu	adam
15	SqueezeNet	03_France_ByShape_192_3dim	test	192	-1	30	200.0	30	relu	relu	adam
16	MobileNet	03_France_ByShape_128_3dim	train	128	-1	30	200.0	30	relu	relu	adam
17	MobileNet	03_France_ByShape_128_3dim	test	128	-1	30	200.0	30	relu	relu	adam
18	MobileNet	03_France_ByShape_128_3dim	train	128	-1	100	200.0	30	relu	relu	adam
19	MobileNet	03_France_ByShape_128_3dim	test	128	-1	100	200.0	30	relu	relu	adam
20	MobileNet	03_France_ByShape_160_3dim	train	160	-1	100	200.0	30	relu	relu	adam
21	MobileNet	03_France_ByShape_160_3dim	test	160	-1	100	200.0	30	relu	relu	adam
22	MobileNet	03_France_ByShape_192_3dim	train	192	-1	100	200.0	30	relu	relu	adam
23	MobileNet	03_France_ByShape_192_3dim	test	192	-1	100	200.0	30	relu	relu	adam
24	MobileNet	03_France_ByShape_224_3dim	train	224	-1	2	-1.0	-1	-1	-1	adam
25	MobileNet	03_France_ByShape_224_3dim	test	224	-1	2	-1.0	-1	-1	-1	adam
26	MobileNet	03_France_ByShape_224_3dim	train	224	-1	2	-1.0	-1	-1	-1	adam
27	MobileNet	03_France_ByShape_224_3dim	test	224	-1	2	-1.0	-1	-1	-1	adam
28	MobileNet	03_France_ByShape_224_3dim	train	224	-1	3	-1.0	-1	dropout 0.5	-1	adam
29	MobileNet	03_France_ByShape_224_3dim	test	224	-1	3	-1.0	-1	dropout 0.5	-1	adam
30	SqueezeNet	03_France_ByShape_128_3dim	train	128	-1	3	0.5	-1	relu	relu	adam
31	SqueezeNet	03_France_ByShape_128_3dim	test	128	-1	3	0.5	-1	relu	relu	adam
32	SqueezeNet	03_France_ByShape_160_3dim	train	160	-1	5	0.5	-1	relu	relu	adam
33	SqueezeNet	03_France_ByShape_160_3dim	test	160	-1	5	0.5	-1	relu	relu	adam
34	SqueezeNet	03_France_ByShape_192_3dim	train	192	-1	10	0.5	-1	relu	relu	adam
35	SqueezeNet	03_France_ByShape_192_3dim	test	192	-1	10	0.5	-1	relu	relu	adam
36	SqueezeNet	03_France_ByShape_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
37	SqueezeNet	03_France_ByShape_224_3dim	test	224	-1	10	0.5	-1	relu	relu	adam
38	SqueezeNet	03_France_ByShape_224_3dim	train	224	-1	10	0.5	-1	relu	relu	adam
